,version_count,total_gross
0,7.0,162805434.0
1,8.0,135453143.0
2,6.0,132092958.0
3,2.0,120540719.0
4,5.0,116632095.0
5,19.0,90951831.0
6,9.0,90710620.0
7,14.0,75357139.0
8,10.0,57012977.0
9,8.0,51386611.0
10,26.0,45090374.0
11,11.0,44671682.0
12,13.0,44137712.0
14,11.0,38180928.0
15,66.0,37738810.0
16,28.0,37709979.0
17,8.0,37400127.0
18,6.0,36024076.0
19,4.0,34194407.0
20,9.0,32015787.0
21,5.0,31457946.0
22,7.0,30017992.0
23,5.0,25037897.0
24,9.0,24816118.0
25,2.0,20264436.0
26,3.0,19676965.0
27,1.0,18390117.0
28,10.0,17687709.0
29,9.0,17418667.0
30,8.0,16377274.0
31,5.0,16188180.0
32,25.0,16170632.0
33,29.0,16101339.0
34,5.0,15281286.0
35,8.0,15026056.0
36,7.0,14600347.0
37,20.0,14482031.0
39,5.0,12594698.0
41,6.0,12044087.0
44,6.0,10143779.0
45,13.0,9706328.0
46,12.0,9662284.0
48,10.0,9176000.0
49,1.0,9015303.0
50,24.0,8323085.0
51,10.0,8117000.0
52,16.0,7791979.0
53,3.0,7693187.0
54,2.0,7417319.0
55,4.0,6594959.0
56,6.0,5933494.0
57,15.0,4835065.0
58,9.0,4441272.0
59,16.0,4438438.0
60,7.0,4017609.0
61,5.0,3863446.0
62,8.0,3344306.0
63,5.0,2450867.0
64,2.0,2025328.0
66,2.0,1517410.0
67,2.0,1457248.0
68,3.0,1215045.0
69,10.0,973018.0
70,15.0,930469.0
71,16.0,872252.0
72,12.0,867275.0
73,9.0,802535.0
74,5.0,757195.0
76,6.0,688529.0
77,15.0,677646.0
80,1.0,583633.0
81,3.0,583455.0
82,8.0,562218.0
83,18.0,510007.0
84,8.0,480813.0
86,7.0,455654.0
87,1.0,384955.0
88,8.0,373420.0
90,5.0,279202.0
92,5.0,205741.0
94,5.0,143979.0
95,5.0,113662.0
96,17.0,101196.0
97,13.0,92853.0
99,5.0,79123.0
100,2.0,56131.0
101,11.0,55125.0
102,11.0,50899.0
103,6.0,47771.0
104,4.0,18643.0
106,1.0,10854.0
108,5.0,10616104.0
109,1.0,5307960.0
111,4.0,2804874.0
113,14.0,2238174.0
115,6.0,2197694.0
116,1.0,1579940.0
117,12.0,1532594.0
118,1.0,1514558.0
119,2.0,1367024.0
122,7.0,1223240.0
124,1.0,1122527.0
126,6.0,1048143.0
127,4.0,1017335.0
128,1.0,879913.0
129,14.0,847993.0
133,2.0,754268.0
135,1.0,738525.0
150,1.0,270880.0
170,1.0,87838.0
182,2.0,14231.0
186,1.0,7461.0
187,1.0,6330.0
192,11.0,448139099.0
193,9.0,381011219.0
194,16.0,347251832.0
195,8.0,317575550.0
196,8.0,303003568.0
197,8.0,301959197.0
198,6.0,295983305.0
199,8.0,292576195.0
200,3.0,292004738.0
202,5.0,290013036.0
203,18.0,281576461.0
204,9.0,277322503.0
205,27.0,274092705.0
206,3.0,261988482.0
207,15.0,258366855.0
208,19.0,257760692.0
209,3.0,256393010.0
210,6.0,255959475.0
211,13.0,255119788.0
212,22.0,254464305.0
213,5.0,251188924.0
214,8.0,249541069.0
215,7.0,241721524.0
216,7.0,210614939.0
217,6.0,209028679.0
218,2.0,206459076.0
219,6.0,205343774.0
220,4.0,200081192.0
221,2.0,198000317.0
222,8.0,193000000.0
223,14.0,186848418.0
224,8.0,184031112.0
225,13.0,183875760.0
226,5.0,183417150.0
227,3.0,182618434.0
228,6.0,171479930.0
229,7.0,165493908.0
230,1.0,162831698.0
231,1.0,162775358.0
232,5.0,153294164.0
233,2.0,152647258.0
234,25.0,150394119.0
235,7.0,150371112.0
236,4.0,148168459.0
237,2.0,148095302.0
