,log_gross,votecount_clean
0,18.908066389354047,750246.0
3,18.607498170826336,710926.0
4,18.57453505129421,72619.0
6,18.323184997536348,84195.0
8,17.858789466553368,18109.0
9,17.754888210111602,42049.0
10,17.624179344884933,62176.0
13,17.46716020375802,13196.0
14,17.457846681885822,91962.0
17,17.43718465810092,155708.0
18,17.39969805066596,58841.0
20,17.281739682859982,42677.0
21,17.26416216420677,139371.0
23,17.03590111504618,141900.0
24,17.02700391938393,69655.0
25,16.82437798642113,23580.0
28,16.688380549552335,43678.0
29,16.673053005220776,48463.0
31,16.59979190426374,50185.0
35,16.525296318777716,98963.0
37,16.48841919751693,18537.0
41,16.304084392071456,44.0
42,16.21670637795932,12753.0
45,16.088288601906086,125079.0
48,16.032101937791342,74367.0
51,15.909471185743312,157252.0
52,15.868605429229008,32411.0
54,15.819328229096774,3631.0
56,15.59612380487927,26668.0
61,15.167070089294205,11.0
64,14.521242220714834,
68,14.010291671107968,565.0
70,13.743444039087656,19084.0
71,13.678833651966999,46814.0
73,13.595530746742423,3874.0
75,13.491984358603528,5555.0
76,13.442312716815726,46713.0
77,13.426380306674583,18510.0
78,13.396938933485359,
79,13.284097799256436,4505.0
80,13.27702763961129,1647.0
81,13.276722606912163,7782.0
82,13.239644954017807,
83,13.142179730096512,
86,13.029489028553577,18432.0
87,12.860881723321674,5480.0
89,12.678261385681246,11459.0
90,12.53969081316848,11.0
92,12.234373375176757,
97,11.438772876436595,6006.0
98,11.388631277698188,372.0
100,10.93544352356233,49.0
101,10.917358612749148,
102,10.837598555980199,7610.0
105,9.725436862592819,66.0
106,9.29228895462335,
108,16.177882651479727,53295.0
109,15.484718138610814,29101.0
110,15.05119072850063,14650.0
111,14.846869176143914,42925.0
112,14.720819206912095,11363.0
113,14.621170912821066,11158.0
114,14.61480039822763,19377.0
115,14.602919186783625,55239.0
116,14.27289742959855,8589.0
117,14.242472282594948,14734.0
118,14.23063420518362,8520.0
119,14.128146672245459,7228.0
120,14.071568053430362,10411.0
122,14.017013634174157,46566.0
123,13.960082652118276,4684.0
124,13.931092951761382,15783.0
125,13.889172645011719,6788.0
126,13.862530584936298,28012.0
127,13.83269702098702,8675.0
128,13.687578317930694,4955.0
129,13.65062766002299,4954.0
130,13.595808577644862,5344.0
131,13.563675565641987,10334.0
132,13.538374018735537,6475.0
133,13.533503021502872,2981.0
134,13.53261700224429,8423.0
135,13.512410232784113,3412.0
137,13.485291131715494,13788.0
138,13.473735486132187,3798.0
139,13.366319242188466,1754.0
141,13.302462466345185,2761.0
143,13.102474906423685,3329.0
144,13.04664796015655,2914.0
145,12.995722476436931,6106.0
146,12.805889435209744,1853.0
147,12.72074486166474,3664.0
148,12.699594417458622,1466.0
150,12.509431197366963,4585.0
151,12.506943610908413,3690.0
153,12.42954814174458,2346.0
154,12.31087400488925,3845.0
155,12.271279693154108,931.0
156,12.227702034653051,1926.0
157,12.221177983305777,3262.0
158,12.191887510538093,1526.0
159,12.162340169665168,6963.0
160,12.088093965736725,2955.0
161,12.038724426704706,3187.0
162,12.03553933355072,1733.0
164,11.919802908596225,5907.0
165,11.874139093479888,2616.0
166,11.783753807849848,2415.0
168,11.52098291634796,570.0
169,11.429195969438696,1051.0
170,11.383249487813838,278.0
172,11.061138892943045,3212.0
174,10.604379663543519,16148.0
176,10.312811870970013,196.0
179,9.831615540298333,16424.0
180,9.745487807887239,819.0
181,9.705463352014883,3451.0
182,9.56317796268366,2423.0
183,9.4053313318708,3551.0
184,9.2237500588861,115.0
185,9.212038928611765,958.0
186,8.917444732471514,22621.0
187,8.753055515138222,2970.0
188,8.717354666338522,241.0
189,8.5422759717837,390.0
190,7.942717540573791,202.0
191,20.094679723519874,1397856.0
192,19.92061423102686,932715.0
199,19.49423568643956,1198738.0
200,19.492280586128313,301826.0
201,19.48899023214754,453932.0
202,19.485436431658634,329156.0
203,19.45591458855544,378842.0
204,19.440691657672144,505869.0
205,19.42897694654453,484302.0
206,19.38381109892696,328123.0
207,19.369891051521567,400456.0
209,19.36222202054869,448656.0
210,19.360529689131695,188348.0
211,19.357243749684233,226859.0
212,19.354671128715392,323517.0
213,19.341715899229534,235641.0
215,19.303296894253247,131363.0
216,19.165542090570952,697.0
217,19.157982020610962,408662.0
218,19.145612771548517,272207.0
219,19.140196078939596,798203.0
220,19.114233802132844,222497.0
221,19.10377918966763,113224.0
223,19.04580824717542,287412.0
224,19.030615388236193,168761.0
225,19.029770870120025,192538.0
227,19.02290947393226,122686.0
228,18.959976791483097,1008695.0
229,18.924444942436224,131132.0
230,18.90822769773983,187721.0
231,18.90788163643972,102984.0
233,18.84364031432415,91024.0
235,18.828616876563267,257866.0
236,18.813860420914867,119346.0
238,18.8076694497391,112054.0
239,18.790391046238707,115580.0
240,18.752240562954956,326032.0
241,18.73840796395287,233192.0
242,18.734040606961933,628543.0
243,18.728352948179086,381687.0
245,18.708699679659347,327397.0
246,18.70121972768207,722366.0
247,18.686459196517912,115912.0
248,18.68549744489153,153414.0
250,18.64640072541819,247835.0
251,18.61908658565935,78533.0
252,18.6042185608021,43487.0
254,18.582276999417342,308810.0
256,18.574269883288128,195296.0
258,18.549994212378206,118655.0
259,18.549263659284083,88036.0
260,18.535794192763895,178897.0
261,18.526186616045432,278394.0
263,18.504709407906162,86529.0
264,18.501205178653727,139421.0
266,18.493092554866138,338255.0
268,18.4872702042257,113437.0
269,18.48654027030322,117083.0
271,18.48440691334659,
272,18.47198781424503,215638.0
273,18.458557188596846,58167.0
275,18.436861841025,73752.0
276,18.433553157795238,74889.0
277,18.43218874219965,238392.0
278,18.429841941739745,175731.0
279,18.428331958614713,53242.0
280,18.42605669758384,248803.0
282,18.423137832835597,14686.0
283,18.42274117979579,302396.0
284,18.397319748366403,243764.0
285,18.373040684159275,52729.0
287,18.367649719533546,198337.0
288,18.367113297218435,99382.0
292,18.35224680551894,41610.0
293,18.35191839232224,76152.0
294,18.3393216752557,251605.0
295,18.338550645026114,41513.0
296,18.320471084274462,54779.0
300,18.28035772320217,96936.0
301,18.273377096275183,26467.0
304,18.252563017459092,23538.0
308,18.24111305976803,54788.0
309,18.234532944418852,32421.0
310,18.21241218434949,77009.0
311,18.20090933805941,62173.0
312,18.19412072565547,174198.0
313,18.180964546830946,85734.0
314,18.180094563105257,212964.0
316,18.1683481189136,42586.0
317,18.16234343141923,81069.0
318,18.154524088451897,269168.0
319,18.14601800431744,67386.0
320,18.14593040174729,207319.0
322,18.140051501719494,90884.0
324,18.115614586771088,161946.0
325,18.11480947312768,89059.0
326,18.096151807336962,15963.0
327,18.095191516669487,187595.0
328,18.09227079755085,28571.0
330,18.08546675740242,17372.0
331,18.085440386256646,48875.0
332,18.084395859779587,3795.0
333,18.082680704835052,92958.0
336,18.07127978035646,197.0
337,18.0697819146698,103786.0
339,18.066468778675688,31736.0
341,18.06075722911637,144653.0
344,18.029999218191936,84374.0
345,18.0297498949218,27306.0
346,18.029685953968507,59143.0
347,18.026701687863834,372187.0
348,18.02549531344687,194761.0
349,18.0192320044269,21085.0
350,18.01237711104174,65633.0
352,17.99307933073895,172110.0
353,17.992779870781543,92762.0
354,17.983987163478957,362625.0
355,17.977000693134215,127334.0
356,17.974494667470633,28162.0
357,17.970738688865335,42332.0
358,17.967208153049775,52828.0
360,17.965110277686186,66285.0
361,17.96293306280817,37826.0
364,17.926422159130453,282852.0
366,17.92103929350317,75775.0
367,17.92066376245288,126248.0
368,17.91744520911278,58744.0
369,17.911337021627848,30539.0
370,17.909031831377128,42445.0
371,17.904751786971737,81921.0
372,17.901653663327853,68700.0
373,17.87691462379047,108833.0
374,17.86517004858292,344779.0
375,17.864902767189545,43849.0
376,17.863156377469636,83438.0
377,17.86149445127065,7.0
378,17.85097550828747,37343.0
379,17.840385992450276,52510.0
380,17.840079567484377,32721.0
381,17.835332846837147,201287.0
383,17.83369375922081,33409.0
384,17.83068277391622,43247.0
385,17.82737936895026,59887.0
386,17.819762254829914,23879.0
388,17.81270813281675,66782.0
389,17.80725187383948,50388.0
390,17.801798157565987,34562.0
391,17.798845493117284,145527.0
392,17.79286217232841,38075.0
393,17.792847052914407,79049.0
395,17.791733621007676,141690.0
396,17.78353605607952,26100.0
397,17.773082499500354,104130.0
398,17.76210114055721,25696.0
399,17.755891159037212,53251.0
400,17.752631264655,38661.0
401,17.74469720181462,9638.0
403,17.738920268107154,71942.0
404,17.73698561170762,50484.0
405,17.733172952106393,153788.0
406,17.729172060322885,14364.0
407,17.728015107431478,32841.0
409,17.722973622647142,11026.0
410,17.71474455149391,35575.0
412,17.70819219929801,42353.0
414,17.702240144854294,47293.0
415,17.69662076851642,43214.0
416,17.69024511022185,57297.0
417,17.689698333214196,10142.0
418,17.67885480601702,20569.0
419,17.674361178303467,19219.0
420,17.668310553858415,36050.0
421,17.666657936326803,18450.0
